Reference,Value,Footprint,Quantity,Description,Manufacturer,MPN
U3,ASM2362,QFN-48_6x6mm,1,USB 3.2 Gen2 to PCIe Gen3 x2 NVMe Bridge,ASMedia,ASM2362
U4,TPS62913,QFN-12_2x2mm,1,3A Step-Down Converter 5V to 3.3V,Texas Instruments,TPS62913RGER
U1,USBLC6-2SC6,SOT-23-6,1,USB 2.0 ESD Protection,STMicroelectronics,USBLC6-2SC6
U2A,TPD4S012,SOT-23-6,1,USB 3.0 SuperSpeed ESD Protection,Texas Instruments,TPD4S012DRYR
J1,USB_C_16P,USB_C_16P,1,USB Type-C 16-pin Receptacle,,
J2,M2_KEY_M_2230,M2_KEY_M_2230,1,M.2 Key-M 2230 NVMe Connector,,
F1,2A,Fuse_1206_3216Metric,1,PTC Resettable Fuse 2A,,
L1,2.2uH,L_Taiyo-Yuden_NR-40xx,1,Power Inductor 2.2uH 3A,,
D1,LED,LED_0603_1608Metric,1,Activity LED Green,,
R1,5.1k,R_0402_1005Metric,1,CC1 Pull-down Resistor,,
R2,5.1k,R_0402_1005Metric,1,CC2 Pull-down Resistor,,
R3,54.9k,R_0402_1005Metric,1,Feedback Resistor Top (Vout=3.3V),,
R4,10k,R_0402_1005Metric,1,Feedback Resistor Bottom (Vout=3.3V),,
R5,1k,R_0402_1005Metric,1,LED Current Limiting Resistor,,
C1,22uF,C_0805_2012Metric,1,Input Capacitor,,
C2,22uF,C_0805_2012Metric,1,Output Capacitor 1,,
C3,22uF,C_0805_2012Metric,1,Output Capacitor 2,,
C4,0.1uF,C_0402_1005Metric,1,ASM2362 Decoupling Capacitor,,
C5,4.7uF,C_0603_1608Metric,1,ASM2362 Bypass Capacitor,,
C6,0.1uF,C_0402_1005Metric,1,ASM2362 Decoupling Capacitor 2,,
C7,0.1uF,C_0402_1005Metric,1,M.2 Decoupling Capacitor,,
C8,10uF,C_0805_2012Metric,1,ASM2362 Bulk Capacitor 1,,
C9,10uF,C_0805_2012Metric,1,ASM2362 Bulk Capacitor 2,,
